district,districtcode,lastupdated,source,state,statecode,zone
Kamjong,MN_Kamjong,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Manipur,MN,Green
Kangpokpi,MN_Kangpokpi,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Manipur,MN,Green
Noney,MN_Noney,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Manipur,MN,Green
Pherzawl,MN_Pherzawl,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Manipur,MN,Green
Senapati,MN_Senapati,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Manipur,MN,Green
Tamenglong,MN_Tamenglong,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Manipur,MN,Green
Tengnoupal,MN_Tengnoupal,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Manipur,MN,Green
Thoubal,MN_Thoubal,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Manipur,MN,Green
Ukhrul,MN_Ukhrul,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Manipur,MN,Green
East Garo Hills,ML_East Garo Hills,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Meghalaya,ML,Green
East Jaintia Hills,ML_East Jaintia Hills,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Meghalaya,ML,Green
East Khasi Hills,ML_East Khasi Hills,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Meghalaya,ML,Orange
North Garo Hills,ML_North Garo Hills,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Meghalaya,ML,Green
Ribhoi,ML_Ribhoi,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Meghalaya,ML,Green
South Garo Hills,ML_South Garo Hills,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Meghalaya,ML,Green
South West Garo Hills,ML_South West Garo Hills,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Meghalaya,ML,Green
South West Khasi Hills,ML_South West Khasi Hills,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Meghalaya,ML,Green
West Garo Hills,ML_West Garo Hills,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Meghalaya,ML,Green
West Jaintia Hills,ML_West Jaintia Hills,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Meghalaya,ML,Green
West Khasi Hills,ML_West Khasi Hills,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Meghalaya,ML,Green
Saitual,MZ_Saitual,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Mizoram,MZ,Green
Hnahthial,MZ_Hnahthial,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Mizoram,MZ,Green
Khawzawl,MZ_Khawzawl,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Mizoram,MZ,Green
Aizawl,MZ_Aizawl,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Mizoram,MZ,Green
Champhai,MZ_Champhai,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Mizoram,MZ,Green
Kolasib,MZ_Kolasib,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Mizoram,MZ,Green
Lawngtlai,MZ_Lawngtlai,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Mizoram,MZ,Green
Lunglei,MZ_Lunglei,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Mizoram,MZ,Green
Mamit,MZ_Mamit,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Mizoram,MZ,Green
Saiha,MZ_Saiha,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Mizoram,MZ,Green
Serchhip,MZ_Serchhip,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Mizoram,MZ,Green
Dimapur,NL_Dimapur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Nagaland,NL,Green
Kiphire,NL_Kiphire,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Nagaland,NL,Green
Kohima,NL_Kohima,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Nagaland,NL,Green
Longleng,NL_Longleng,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Nagaland,NL,Green
Mokokchung,NL_Mokokchung,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Nagaland,NL,Green
Mon,NL_Mon,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Nagaland,NL,Green
Peren,NL_Peren,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Nagaland,NL,Green
Phek,NL_Phek,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Nagaland,NL,Green
Tuensang,NL_Tuensang,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Nagaland,NL,Green
Wokha,NL_Wokha,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Nagaland,NL,Green
Zunheboto,NL_Zunheboto,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Nagaland,NL,Green
Angul,OR_Angul,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Green
Balangir,OR_Balangir,03/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Orange
Balasore,OR_Balasore,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Red
Bargarh,OR_Bargarh,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Green
Boudh,OR_Boudh,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Green
Bhadrak,OR_Bhadrak,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Red
Cuttack,OR_Cuttack,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Green
Deogarh,OR_Deogarh,03/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Orange
Dhenkanal,OR_Dhenkanal,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Orange
Gajapati,OR_Gajapati,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Green
Ganjam,OR_Ganjam,03/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Orange
Jagatsinghpur,OR_Jagatsinghpur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Green
Jajpur,OR_Jajpur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Red
Jharsuguda,OR_Jharsuguda,03/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Orange
Kalahandi,OR_Kalahandi,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Orange
Kandhamal,OR_Kandhamal,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Green
Kendrapara,OR_Kendrapara,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Orange
Kendujhar,OR_Kendujhar,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Green
Khordha,OR_Khordha,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Orange
Koraput,OR_Koraput,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Orange
Malkangiri,OR_Malkangiri,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Green
Mayurbhanj,OR_Mayurbhanj,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Green
Nabarangapur,OR_Nabarangapur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Green
Nayagarh,OR_Nayagarh,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Green
Nuapada,OR_Nuapada,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Green
Puri,OR_Puri,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Green
Rayagada,OR_Rayagada,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Green
Sambalpur,OR_Sambalpur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Green
Subarnapur,OR_Subarnapur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Green
Sundargarh,OR_Sundargarh,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Odisha,OR,Orange
Karaikal,PY_Karaikal,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Puducherry,PY,Green
Mahe,PY_Mahe,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Puducherry,PY,Green
Puducherry,PY_Puducherry,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Puducherry,PY,Orange
Yanam,PY_Yanam,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Puducherry,PY,Green
Amritsar,PB_Amritsar,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Punjab,PB,Orange
Barnala,PB_Barnala,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Punjab,PB,Orange
Bathinda,PB_Bathinda,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Punjab,PB,Green
Faridkot,PB_Faridkot,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Punjab,PB,Orange
Fatehgarh Sahib,PB_Fatehgarh Sahib,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Punjab,PB,Green
Fazilka,PB_Fazilka,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Punjab,PB,Green
Ferozepur,PB_Ferozepur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Punjab,PB,Orange
Gurdaspur,PB_Gurdaspur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Punjab,PB,Orange
Hoshiarpur,PB_Hoshiarpur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Punjab,PB,Orange
Jalandhar,PB_Jalandhar,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Punjab,PB,Red
Kapurthala,PB_Kapurthala,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Punjab,PB,Orange
Ludhiana,PB_Ludhiana,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Punjab,PB,Red
Mansa,PB_Mansa,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Punjab,PB,Orange
Moga,PB_Moga,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Punjab,PB,Orange
Pathankot,PB_Pathankot,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Punjab,PB,Orange
Patiala,PB_Patiala,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Punjab,PB,Red
Rupnagar,PB_Rupnagar,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Punjab,PB,Green
S.A.S. Nagar,PB_S.A.S. Nagar,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Punjab,PB,Orange
Sangrur,PB_Sangrur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Punjab,PB,Orange
Shahid Bhagat Singh Nagar,PB_Shahid Bhagat Singh Nagar,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Punjab,PB,Orange
Sri Muktsar Sahib,PB_Sri Muktsar Sahib,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Punjab,PB,Orange
Tarn Taran,PB_Tarn Taran,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Punjab,PB,Orange
Ajmer,RJ_Ajmer,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Red
Alwar,RJ_Alwar,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Orange
Banswara,RJ_Banswara,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Red
Baran,RJ_Baran,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Green
Barmer,RJ_Barmer,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Orange
Bharatpur,RJ_Bharatpur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Red
Bhilwara,RJ_Bhilwara,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Orange
Bikaner,RJ_Bikaner,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Orange
Bundi,RJ_Bundi,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Green
Chittorgarh,RJ_Chittorgarh,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Orange
Churu,RJ_Churu,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Orange
Dausa,RJ_Dausa,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Orange
Dholpur,RJ_Dholpur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Orange
Dungarpur,RJ_Dungarpur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Orange
Evacuees,RJ_Evacuees,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,
Ganganagar,RJ_Ganganagar,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Green
Hanumangarh,RJ_Hanumangarh,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Orange
Italians,RJ_Italians,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,
Jaipur,RJ_Jaipur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Red
Jaisalmer,RJ_Jaisalmer,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Orange
Jalore,RJ_Jalore,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Green
Jhalawar,RJ_Jhalawar,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Red
Jhunjhunu,RJ_Jhunjhunu,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Orange
Jodhpur,RJ_Jodhpur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Red
Karauli,RJ_Karauli,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Orange
Kota,RJ_Kota,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Red
Nagaur,RJ_Nagaur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Red
Other state,RJ_Other state,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,
Pali,RJ_Pali,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Orange
Pratapgarh,RJ_Pratapgarh,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Green
Rajsamand,RJ_Rajsamand,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Orange
Sawai Madhopur,RJ_Sawai Madhopur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Orange
Sikar,RJ_Sikar,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Orange
Sirohi,RJ_Sirohi,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Green
Tonk,RJ_Tonk,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Orange
Udaipur,RJ_Udaipur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Rajasthan,RJ,Orange
East District,SK_East District,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Sikkim,SK,Green
North District,SK_North District,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Sikkim,SK,Green
South District,SK_South District,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Sikkim,SK,Green
West District,SK_West District,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Sikkim,SK,Green
Ariyalur,TN_Ariyalur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Chengalpattu,TN_Chengalpattu,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Red
Chennai,TN_Chennai,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Red
Coimbatore,TN_Coimbatore,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Cuddalore,TN_Cuddalore,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Dharmapuri,TN_Dharmapuri,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Dindigul,TN_Dindigul,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Erode,TN_Erode,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Kallakurichi,TN_Kallakurichi,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Kancheepuram,TN_Kancheepuram,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Red
Kanyakumari,TN_Kanyakumari,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Karur,TN_Karur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Krishnagiri,TN_Krishnagiri,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Green
Madurai,TN_Madurai,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Red
Nagapattinam,TN_Nagapattinam,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Namakkal,TN_Namakkal,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Red
Perambalur,TN_Perambalur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Pudukkottai,TN_Pudukkottai,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Ramanathapuram,TN_Ramanathapuram,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Ranipet,TN_Ranipet,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Red
Salem,TN_Salem,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Sivaganga,TN_Sivaganga,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Tenkasi,TN_Tenkasi,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Thanjavur,TN_Thanjavur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Red
Nilgiris,TN_Nilgiris,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Theni,TN_Theni,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Thiruvallur,TN_Thiruvallur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Red
Thiruvarur,TN_Thiruvarur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Red
Thoothukkudi,TN_Thoothukkudi,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Tiruchirappalli,TN_Tiruchirappalli,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Tirunelveli,TN_Tirunelveli,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Tirupathur,TN_Tirupathur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Tiruppur,TN_Tiruppur,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Red
Tiruvannamalai,TN_Tiruvannamalai,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Orange
Vellore,TN_Vellore,01/05/2020,https://www.facebook.com/airnewsalerts/photos/a.262571017217636/1710062729135117/?type=3&theater,Tamil Nadu,TN,Red
